,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
805,805,7,2,12.5,8.0,5,1.26,1389.0,3,1366.0,768.0,0,0,0,1,2.6,256,3,0,2,2,0
806,806,16,3,15.6,4.0,5,2.1,780.0,3,1366.0,768.0,0,0,0,1,2.3,500,1,0,2,2,1
807,807,7,3,15.6,8.0,5,2.04,629.0,3,1366.0,768.0,0,0,0,0,2.5,2,4,0,2,0,0
808,808,4,1,15.6,16.0,5,2.62,1679.0,0,3840.0,2160.0,0,0,0,1,2.8,512,3,0,2,3,0
809,809,10,3,15.6,4.0,5,2.4,609.0,1,1920.0,1080.0,0,0,0,1,2.5,1,4,0,2,3,0
810,810,7,1,17.3,12.0,5,3.74,1749.0,1,1920.0,1080.0,0,1,0,1,2.8,1,4,0,2,0,0
811,811,11,1,17.3,16.0,5,2.9,2415.0,1,1920.0,1080.0,0,0,0,1,2.8,512,3,1024,0,3,0
812,812,15,4,13.3,8.0,5,0.97,1499.0,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,2,0
813,813,4,3,15.6,8.0,5,1.98,961.0,1,1920.0,1080.0,0,0,0,1,2.7,1,4,0,2,3,0
814,814,4,3,15.6,8.0,5,2.18,789.81,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,0,0
815,815,10,4,14.0,8.0,5,1.32,1859.0,1,1920.0,1080.0,0,0,0,1,2.7,256,3,0,2,2,0
816,816,14,4,12.5,16.0,5,1.29,1799.0,0,3840.0,2160.0,1,1,0,1,2.5,512,3,0,2,2,0
817,817,7,2,11.6,4.0,1,1.23,385.0,3,1366.0,768.0,0,0,0,1,1.6,16,0,0,2,2,2
818,818,4,1,17.3,16.0,5,3.78,2505.02,1,1920.0,1080.0,0,1,0,1,2.8,128,3,1024,0,3,0
819,819,4,3,14.0,4.0,5,1.76,755.0,3,1366.0,768.0,0,0,0,1,2.3,500,1,0,2,2,2
820,820,10,3,15.6,4.0,5,2.1,489.9,3,1366.0,768.0,0,0,0,1,2.0,500,1,0,2,2,1
821,821,16,4,14.0,4.0,5,1.25,1090.0,3,1366.0,768.0,0,0,0,1,2.5,128,3,0,2,2,2
822,822,10,4,14.0,8.0,5,1.13,2499.0,1,1920.0,1080.0,0,1,0,1,2.7,512,3,0,2,2,0
