,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company
0,Apple,Ultrabook,13.3,8.0,macOS,1.37,1339.69,Standard,2560.0,1600.0,No,Yes,Yes,Intel,2.3,128,GB SSD,0,No,Intel
1,Apple,Ultrabook,13.3,8.0,macOS,1.34,898.94,Standard,1440.0,900.0,No,No,No,Intel,1.8,128,GB Flash Storage,0,No,Intel
2,HP,Notebook,15.6,8.0,No OS,1.86,575.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel
3,Apple,Ultrabook,15.4,16.0,macOS,1.83,2537.45,Standard,2880.0,1800.0,No,Yes,Yes,Intel,2.7,512,GB SSD,0,No,AMD
4,Apple,Ultrabook,13.3,8.0,macOS,1.37,1803.6,Standard,2560.0,1600.0,No,Yes,Yes,Intel,3.1,256,GB SSD,0,No,Intel
5,Acer,Notebook,15.6,4.0,Windows 10,2.1,400.0,Standard,1366.0,768.0,No,No,No,AMD,3.0,500,GB HDD,0,No,AMD
6,Apple,Ultrabook,15.4,16.0,Mac OS X,2.04,2139.97,Standard,2880.0,1800.0,No,Yes,Yes,Intel,2.2,256,GB Flash Storage,0,No,Intel
7,Apple,Ultrabook,13.3,8.0,macOS,1.34,1158.7,Standard,1440.0,900.0,No,No,No,Intel,1.8,256,GB Flash Storage,0,No,Intel
8,Asus,Ultrabook,14.0,16.0,Windows 10,1.3,1495.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,512,GB SSD,0,No,Nvidia
9,Acer,Ultrabook,14.0,8.0,Windows 10,1.6,770.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,Intel
10,HP,Notebook,15.6,4.0,No OS,1.86,393.9,Standard,1366.0,768.0,No,No,No,Intel,2.5,500,GB HDD,0,No,Intel
11,HP,Notebook,15.6,4.0,No OS,1.86,344.99,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,500,GB HDD,0,No,Intel
12,Apple,Ultrabook,15.4,16.0,macOS,1.83,2439.97,Standard,2880.0,1800.0,No,Yes,Yes,Intel,2.8,256,GB SSD,0,No,AMD
13,Dell,Notebook,15.6,4.0,Windows 10,2.2,498.9,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,256,GB SSD,0,No,AMD
14,Apple,Ultrabook,12.0,8.0,macOS,0.97,1262.4,Standard,2304.0,1440.0,No,Yes,Yes,Intel,1.2,256,GB SSD,0,No,Intel
15,Apple,Ultrabook,13.3,8.0,macOS,1.37,1518.55,Standard,2560.0,1600.0,No,Yes,Yes,Intel,2.3,256,GB SSD,0,No,Intel
16,Dell,Notebook,15.6,8.0,Windows 10,2.2,745.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,AMD
17,Apple,Ultrabook,15.4,16.0,macOS,1.83,2711.2200000000007,Standard,2880.0,1800.0,No,Yes,Yes,Intel,2.9,512,GB SSD,0,No,AMD
18,Lenovo,Notebook,15.6,8.0,No OS,2.2,499.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.4,1,TB HDD,0,No,Nvidia
19,Dell,Ultrabook,13.3,8.0,Windows 10,1.22,979.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,1.6,128,GB SSD,0,No,Intel
20,Asus,Netbook,11.6,2.0,Windows 10,0.98,229.0,Standard,1366.0,768.0,No,No,No,Intel,1.44,32,GB Flash Storage,0,No,Intel
21,Lenovo,Gaming,15.6,8.0,Windows 10,2.5,999.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.5,128,GB SSD,1024,HDD,Nvidia
22,HP,Notebook,15.6,4.0,No OS,1.86,258.0,Standard,1366.0,768.0,No,No,No,AMD,1.5,500,GB HDD,0,No,AMD
23,Dell,2 in 1 Convertible,13.3,8.0,Windows 10,1.62,819.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,1.6,256,GB SSD,0,No,Intel
24,HP,Ultrabook,15.6,8.0,Windows 10,1.91,659.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,0,No,Intel
25,Dell,Notebook,15.6,4.0,Windows 10,2.3,418.64,Standard,1366.0,768.0,No,No,No,Intel,2.0,1,TB HDD,0,No,Intel
26,Apple,Ultrabook,13.3,8.0,Mac OS X,1.35,1099.0,Standard,1440.0,900.0,No,No,No,Intel,1.6,128,GB Flash Storage,0,No,Intel
27,Dell,Notebook,15.6,8.0,Windows 10,2.2,800.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,AMD
28,Dell,Ultrabook,15.6,8.0,Windows 10,1.88,1298.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.9,256,GB SSD,256,SSD,Intel
29,HP,Notebook,17.3,8.0,Windows 10,2.5,896.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,1,TB HDD,0,No,Nvidia
