,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
889,889,Lenovo,Notebook,17.3,4.0,Windows 10,2.8,379.0,Standard,1600.0,900.0,No,No,No,AMD,2.2,500,GB HDD,0,No,AMD,Programming
890,890,HP,Notebook,14.0,4.0,Windows 10,1.95,1265.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,128,GB SSD,0,No,Intel,Work/Business
891,891,HP,2 in 1 Convertible,13.3,16.0,Windows 10,1.42,1399.0,Quad HD+,3200.0,1800.0,Yes,No,No,Intel,2.7,256,GB SSD,0,No,Intel,Programming
892,892,Samsung,Ultrabook,15.0,8.0,Windows 10,1.17,1699.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,Intel,Programming
893,893,Lenovo,Ultrabook,14.0,8.0,Windows 10,1.32,1799.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
894,894,MSI,Gaming,17.3,16.0,Windows 10,2.43,2649.0,4K Ultra HD,3840.0,2160.0,No,Yes,No,Intel,2.6,512,GB SSD,2048,HDD,Nvidia,Programming
895,895,Toshiba,Notebook,13.3,8.0,Windows 10,1.05,1475.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
896,896,Dell,Gaming,15.6,8.0,Linux,2.62,929.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,1,TB HDD,0,No,Nvidia,Programming
897,897,HP,Notebook,15.6,8.0,Windows 10,2.04,900.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,1,TB HDD,0,No,Nvidia,Programming
898,898,Dell,Notebook,15.6,4.0,Windows 10,2.18,614.0,Standard,1366.0,768.0,No,No,No,Intel,2.0,1,TB HDD,0,No,AMD,Programming
899,899,Dell,Notebook,15.6,8.0,Windows 10,1.9,935.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.6,500,GB HDD,0,No,Intel,Programming
900,900,Dell,2 in 1 Convertible,13.3,8.0,Windows 10,1.24,2013.1,Quad HD+,3200.0,1800.0,Yes,No,No,Intel,1.3,512,GB SSD,0,No,Intel,Programming
901,901,Asus,Gaming,17.3,16.0,Windows 10,3.58,1279.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,256,GB SSD,256,SSD,Nvidia,Programming
902,902,Dell,2 in 1 Convertible,13.3,16.0,Windows 10,1.22,1649.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,1.3,256,GB SSD,0,No,Intel,Programming
903,903,Lenovo,Ultrabook,14.0,8.0,Windows 10,1.13,2049.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,256,GB Flash Storage,0,No,Intel,Programming
